City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Megion,61.0296,76.1136,24.8,74,90,8.95,RU,1615934659
Kendari,-3.945,122.4989,76.89,89,28,3.44,ID,1615934778
Ambilobe,-13.2,49.05,73.53,94,100,1.39,MG,1615934806
Turukhansk,65.8167,87.9833,-17.7,67,68,1.41,RU,1615934807
Buri,-23.7975,-48.5928,69.49,92,13,5.03,BR,1615934808
Egvekinot,66.3167,-179.1667,-5.76,90,99,4.61,RU,1615934808
Dehui,44.5333,125.7,19.4,73,0,2.24,CN,1615934809
San Policarpo,12.1791,125.5072,81,80,50,2.24,PH,1615934810
Atambua,-9.1061,124.8925,75.9,85,31,1.36,ID,1615934811
Kondinskoye,59.6481,67.41,18.23,93,94,10.74,RU,1615934811
Semīrom,31.4167,51.5667,43.5,63,94,3.38,IR,1615934812
Zhangaözen,43.3,52.8,33.35,42,27,32.82,KZ,1615934813
Makakilo City,21.3469,-158.0858,80.6,61,75,11.5,US,1615934813
Kirksville,40.1948,-92.5833,44.6,81,90,9.22,US,1615934730
Touros,-5.1989,-35.4608,80.6,74,75,9.22,BR,1615934789
Borba,-4.3878,-59.5939,79.54,82,12,1.86,BR,1615934815
Zharkent,44.1628,80,28.63,85,94,2.42,KZ,1615934815
Broome,42.2506,-75.833,30.99,74,90,5.75,US,1615934816
Rome,43.2128,-75.4557,46.4,25,90,9.22,US,1615934763
State College,40.7934,-77.86,39.99,56,90,13.8,US,1615934845
Teguise,29.0605,-13.564,62.6,77,20,9.22,ES,1615934846
Jérémie,18.65,-74.1167,76.48,73,28,1.32,HT,1615934846
São Filipe,14.8961,-24.4956,72.41,68,0,12.97,CV,1615934847
Yar-Sale,66.8333,70.8333,17.8,96,100,4.38,RU,1615934848
Dingzhou,38.5131,114.9956,41,65,99,1.88,CN,1615934848
Smithers,54.7804,-127.1743,41,56,90,8.05,CA,1615934849
Tuatapere,-46.1333,167.6833,57.99,72,98,15.99,NZ,1615934657
Etchoropo,26.7667,-109.6667,82,38,0,18.05,MX,1615934850
Llangefni,53.2556,-4.3106,46.99,81,20,14.97,GB,1615934851
Ancud,-41.8697,-73.8203,60.8,48,0,6.91,CL,1615934852
Lapeer,43.0514,-83.3188,44.6,61,40,4.61,US,1615934852
Dutlwe,-23.9833,23.9,70.59,53,2,5.23,BW,1615934853
Natal,-5.795,-35.2094,80.6,78,40,11.5,BR,1615934853
Manacapuru,-3.2997,-60.6206,84.2,74,20,5.75,BR,1615934854
Sribne,50.6638,32.9187,31.69,92,77,9.15,UA,1615934855
Hawkesbury,45.6001,-74.616,33.8,31,75,5.75,CA,1615934856
Katete,-0.7818,29.7544,62.58,79,98,1.97,UG,1615934857
Pacific Grove,36.6177,-121.9166,55.4,54,40,6.91,US,1615934857
Chambéry,45.5667,5.9333,43,81,90,3.44,FR,1615934858
Dakar,14.6937,-17.4441,68,94,0,6.91,SN,1615934859
Lancaster,40.2504,-76.2499,39.2,60,90,12.66,US,1615934859
Kununurra,-15.7667,128.7333,77,94,93,4.61,AU,1615934860
Bandarbeyla,9.4942,50.8122,77.29,81,60,11.23,SO,1615934637
Srednekolymsk,67.45,153.6833,-14.58,87,0,5.03,RU,1615934862
Te Anau,-45.4167,167.7167,54.64,63,64,2.51,NZ,1615934862
San Ramon,37.7799,-121.978,61,41,20,9.22,US,1615934863
Fengzhen,40.4394,113.1536,34.68,67,90,3.76,CN,1615934864
Nueve de Julio,-35.4444,-60.8831,64,99,97,5.99,AR,1615934864
Mariehamn,60.0973,19.9348,28.4,100,0,2.3,AX,1615934865
Port Hardy,50.6996,-127.4199,44.6,65,90,14.97,CA,1615934704
Mount Gambier,-37.8333,140.7667,53.6,100,0,3.83,AU,1615934866
Morgan City,29.6994,-91.2068,75.2,94,90,9.22,US,1615934866
Punta Umbría,37.1821,-6.9661,57,60,6,4.5,ES,1615934867
Prigorodka,52.0447,39.7124,32,69,75,8.95,RU,1615934868
Benguela,-12.5763,13.4055,78.78,80,100,1.07,AO,1615934869
Camocim,-2.9022,-40.8411,78.08,87,90,9.6,BR,1615934869
Ndjolé,-0.1783,10.7649,74.57,96,76,0.81,GA,1615934870
Vilyuysk,63.7553,121.6247,6.51,95,99,7.34,RU,1615934870
Charlottesville,38.0293,-78.4767,44.6,81,90,6.91,US,1615934599
Moindou,-21.6924,165.677,82.4,65,0,3.44,NC,1615934871
Capreol,46.706,-80.9225,41,22,40,5.75,CA,1615934872
Shache,38.4167,77.2406,47.19,36,86,5.95,CN,1615934873
Boo,59.3333,18.2833,33.8,75,90,4.72,SE,1615934873
Oituz,46.2,26.6167,37.99,93,90,24.16,RO,1615934874
Ust'-Kulom,61.6864,53.6902,30.56,96,100,7.67,RU,1615934875
Emba,48.8264,58.1442,7.81,65,0,9.28,KZ,1615934875
Benátky nad Jizerou,50.2909,14.8234,36,86,75,5.75,CZ,1615934876
Santa Fe,-31.6333,-60.7,75,80,48,4,AR,1615934810
Tautira,-17.7333,-149.15,89.6,58,40,5.75,PF,1615934877
Salalah,17.0151,54.0924,75.2,64,0,3.44,OM,1615934905
Mishelevka,52.8575,103.1719,8.98,90,88,0.87,RU,1615934906
Xining,36.6167,101.7667,36.72,48,85,3.36,CN,1615934690
Ezhou,30.4,114.8333,57.22,94,100,4.83,CN,1615934907
Alta Floresta,-9.8756,-56.0861,75.7,86,84,1.86,BR,1615934908
West Bay,19.3667,-81.4167,82.99,61,20,13.8,KY,1615934908
Carupano,10.6678,-63.2585,75.87,87,49,10.11,VE,1615934909
Smidovich,48.6,133.8167,23.61,93,100,7.27,RU,1615934910
Hay River,60.8156,-115.7999,14,73,100,6.91,CA,1615934704
Haileybury,47.449,-79.6373,42.8,45,1,8.05,CA,1615934911
Shimokizukuri,40.8061,140.3861,39,60,75,19.57,JP,1615934912
Saint-François,46.4154,3.9054,46.99,93,90,13.8,FR,1615934913
Ust'-Omchug,61.15,149.6333,-7.38,71,23,5.95,RU,1615934914
Cherskiy,68.75,161.3,-20.24,95,100,5.59,RU,1615934914
Felipe Carrillo Puerto,19.5833,-88.05,83.77,57,10,8.34,MX,1615934915
Palmares do Sul,-30.2578,-50.5097,76.1,85,76,14.94,BR,1615934915
Huambo,-12.7761,15.7392,59.4,94,97,2.57,AO,1615934916
Haines Junction,60.7522,-137.5108,32,21,74,8.05,CA,1615934835
Mindelo,16.8901,-24.9804,69.8,73,20,13.8,CV,1615934918
Batagay,67.6333,134.6333,-8.59,88,100,6.38,RU,1615934918
Saint Paul,44.9444,-93.0933,37,69,90,5.75,US,1615934731
Kasangulu,-4.5911,15.1708,75.2,88,75,1.83,CD,1615934919
Oktyabr'skiy,54.4815,53.471,11.97,85,100,8.68,RU,1615934920
Gannan,47.9147,123.5031,24.8,52,87,4.43,CN,1615934921
Kolyvan',55.3053,82.7391,10.4,72,0,8.95,RU,1615934921
Deputatsky,69.3,139.9,-16.6,84,33,4.59,RU,1615934922
Guider,9.9342,13.9486,83.03,14,99,2.95,CM,1615934922
Cap Malheureux,-19.9842,57.6142,77,82,99,3,MU,1615934711
George,-33.963,22.4617,62.6,88,90,2.3,ZA,1615934774
Le Port,-20.9373,55.2919,77,73,62,12.66,RE,1615934924
Camacupa,-12.0167,17.4833,61.97,97,100,3.18,AO,1615934924
Northam,51.0333,-4.2167,43,89,25,1.99,GB,1615934925
Loa Janan,-0.583,117.095,76.03,90,92,1.21,ID,1615934925
Portland,45.5234,-122.6762,55,43,40,4.61,US,1615934717
Bundaberg,-24.85,152.35,73,88,90,11.5,AU,1615934927
Sioux Lookout,50.1001,-91.917,46.4,31,40,8.05,CA,1615934927
Betong,5.7743,101.0723,65.77,88,87,2.1,TH,1615934928
St. Marys,30.7305,-81.5465,75.99,88,40,19.57,US,1615934928
Dāmghān,36.1683,54.348,52.41,47,87,3.74,IR,1615934929
Mamaku,-38.1,176.0833,70,64,5,3,NZ,1615934930
Batticaloa,7.7102,81.6924,79.32,76,36,5.82,LK,1615934930
Jinchang,38.4953,102.1739,34.81,29,100,2.21,CN,1615934931
Soyo,-6.1349,12.3689,79.45,79,100,1.63,AO,1615934931
Praia,14.9215,-23.5087,69.8,64,0,13.8,CV,1615934642
Rock Sound,24.9,-76.2,74.34,74,1,11.79,BS,1615934933
Būkān,36.521,46.2089,47.16,65,0,5.48,IR,1615934933
Tingi,-11.3,35.0333,63.77,93,81,2.37,TZ,1615934934
Calvinia,-31.4707,19.776,67.5,35,0,4.27,ZA,1615934935
Mount Darwin,-16.7725,31.5838,63.27,92,3,2.26,ZW,1615934935
Ipixuna,-1.7625,-48.8043,78.8,89,0,8.05,BR,1615934936
Neiafu,-18.65,-173.9833,84.2,74,40,5.75,TO,1615934705
Grand Baie,-20.0182,57.5802,77,82,100,3,MU,1615934965
Khasan,42.4308,130.6434,33.57,38,0,17.78,RU,1615934966
Paita,-5.0892,-81.1144,79,72,52,15.05,PE,1615934610
Lensk,60.7253,114.9278,15.75,94,87,7.49,RU,1615934968
Kimberley,-28.7323,24.7623,60.8,94,62,5.75,ZA,1615934704
Vardø,70.3705,31.1107,12.2,85,75,12.66,NO,1615934969
Andrews,32.3187,-102.5457,82.4,5,1,25.17,US,1615934969
Dalbandin,28.8947,64.4101,64.04,23,75,4.12,PK,1615934970
Vallenar,-28.5708,-70.7581,68.18,50,0,4,CL,1615934971
Lamu,-2.2717,40.902,78.8,89,1,6.91,KE,1615934972
Luebo,-5.35,21.4167,69.21,99,97,3.09,CD,1615934973
Biharamulo,-2.6319,31.3089,61.99,86,98,0.6,TZ,1615934973
Sabirabad,40.0095,48.4752,35.6,93,0,4.61,AZ,1615934974
Chkalovskoye,44.8392,133.0436,23.13,80,86,8.75,RU,1615934974
Gatesville,31.4352,-97.7439,80.6,54,40,10.36,US,1615934975
Bosaso,11.2842,49.1816,76.26,71,73,4.14,SO,1615934976
Asarganj,25.15,86.6833,68.5,25,0,3.2,IN,1615934977
São Félix do Xingu,-6.6447,-51.995,75.96,90,78,2.13,BR,1615934977
College,64.8569,-147.8028,10,72,75,4.61,US,1615934978
Brookhaven,31.5791,-90.4407,80.6,61,75,10.36,US,1615934775
Oberá,-27.4871,-55.1199,77.27,67,35,1.23,AR,1615934979
Carballo,43.213,-8.691,50,82,22,1.01,ES,1615934979
Yenagoa,4.9247,6.2642,78.42,90,100,5.57,NG,1615934980
Khandyga,62.6667,135.6,-3.89,85,67,4.56,RU,1615934981
Balkhash,46.844,74.9804,10.22,63,2,11.25,KZ,1615934981
Udachny,66.4167,112.4,-32.04,92,13,4.38,RU,1615934982
Bilma,18.6853,12.9164,77.23,16,35,13.85,NE,1615934983
Barra Patuca,15.8,-84.2833,79.61,72,0,12.26,HN,1615934983
Aykhal,66,111.5,-28.93,95,62,6.58,RU,1615934984
Gribanovskiy,51.4579,41.9764,32,77,100,8.01,RU,1615934985
Taltal,-25.4,-70.4833,65.75,87,24,4.9,CL,1615934874
Namatanai,-3.6667,152.4333,83.23,69,93,5.21,PG,1615934986
Arcata,40.8665,-124.0828,52,53,1,9.22,US,1615934987
Coruripe,-10.1256,-36.1756,77.43,74,4,8.52,BR,1615934987
Kwang Binh,17.4833,106.6,71.02,95,32,2.15,VN,1615934989
Port Hedland,-20.3167,118.5667,78.8,89,40,4.61,AU,1615934989
Hokitika,-42.7167,170.9667,58.6,73,97,8.48,NZ,1615934829
Nainpur,22.4333,80.1167,70.18,30,9,2.95,IN,1615934991
Champerico,14.3,-91.9167,84.2,70,75,11.5,GT,1615934866
Camaná,-16.6228,-72.7111,72.3,80,100,6.2,PE,1615934992
Nong Chik,6.8436,101.178,70.7,92,88,4.74,TH,1615934992
Zhangye,38.9342,100.4517,34.74,24,100,3.89,CN,1615934993
Labuhan,-6.8844,112.2051,77.32,87,53,3.27,ID,1615934993
Ballina,-28.8667,153.5667,68,88,90,12.66,AU,1615934944
Henties Bay,-22.116,14.2845,61,89,3,1.99,NA,1615934994
High Level,58.5169,-117.136,46.4,34,20,5.75,CA,1615934995
Sangar,63.9242,127.4739,4.39,94,100,12.26,RU,1615934996
Kloulklubed,7.0419,134.2556,80.6,83,75,6.91,PW,1615934883
